januari ;5 ;-7 ;6 ;2 
februari ;6 ;-6 ;6 ;3 
maart ; 12 ;1 ;7 ;10 
april ; 19 ;6 ;8 ;11
mei ; 24 ;9 ;10 ;8
juni ; 30 ;12 ;12 ;1 
juli ; 32 ;15 ;12 ;2 
augustus ;32 ;14 ;11 ;1 
september ;29 ;9 ;10 ;1 
oktober ;22 ;4 ;9 ;2 
november ;15 ;-1 ;8 ;4 
december ;8 ;-5 ;6 ;3
januari ;5 ;0 ;2 ;20 
februari ;5 ;0 ;3 ;16 
maart ; 8 ;2 ;4 ;19 
april ; 12 ;4 ;5 ;15 
mei ; 16 ;8 ;7 ;17 
juni ; 20 ;12 ;7 ;14 
juli ; 22 ;14 ;7 ;14 
augustus ;22 ;13 ;7 ;15 
september ;19 ;11 ;5 ;15 
oktober ;15 ;7 ;4 ;17 
november ;9 ;4 ;2 ;20 
december ;6 ;1 ;2 ;19 
januari ;7 ;0 ;4 ;10 
februari ;8 ;1 ;4 ;11 
maart ;12 ;5 ;5 ;14 
april ;18 ;10 ;5 ;15 
mei ;23 ;16 ;6 ;15 
juni ;27 ;20 ;6 ;15 
juli ;31 ;25 ;7 ;12 
augustus ;31 ;25 ;8 ;11 
september ;27 ;21 ;6 ;13 
oktober ;22 ;15 ;5 ;12 
november ;17 ;9 ;5 ;11 
december ;10 ;2 ;5 ;10 
januari ;2 ;-4 ;2 ;16
februari ;4 ;-2 ;3 ;13
maart ;8 ;0 ;4 ;15 
april ;13 ;4 ;5 ;15
mei ;19 ;8 ;7 ;17
juni ;22 ;11 ;7 ;15
juli ;23 ;12 ;8 ;14
augustus ;23 ;13 ;7 ;14
september ;20 ;10 ;5 ;13
oktober ;14 ;6 ;4 ;13
november ;7 ;1 ;2 ;15
december ;3 ;-3 ;1 ;16
januari ;30 ;21 ;6 ;11
februari ;31 ;21 ;7 ;8
maart ;33 ;22 ;8 ;7
april ;34 ;23 ;9 ;8
mei ;34 ;24 ;7 ;14
juni ;32 ;24 ;6 ;19
juli ;31 ;24 ;6 ;21
augustus ;31 ;24 ;5 ;23
september ;31 ;24 ;5 ;22
oktober ;31 ;23 ;6 ;20
november ;31 ;23 ;6 ;16
december ;30 ;21 ;6 ;14
januari ;13 ;4 ;4 ;12
februari ;13 ;5 ;5 ;11
maart ;16 ;7 ;6 ;9
april ;20 ;10 ;8 ;8
mei ;25 ;14 ;10 ;5
juni ;30 ;20 ;11 ;2
juli ;33 ;23 ;12 ;1
augustus ;34 ;24 ;11 ;2
september ;29 ;18 ;9 ;3
oktober ;23 ;14 ;7 ;6
november ;18 ;10 ;5 ;9
december ;14 ;8 ;4 ;13